Sensitivity_Type,Scenario,Shock,District,Predicted_Average_Price_Growth,Predicted_Median_Price_Growth,Average_Growth_Change,Median_Growth_Change
Income_only,-10%,-0.1,EALING,0.010889278159816088,0.028740378687329735,0.004805446404518328,0.011348034268348232
Income_only,-10%,-0.1,ENFIELD,0.04027173469881559,0.031943142310605084,0.004720232252041802,0.01069982218020675
Income_only,-10%,-0.1,GREENWICH,-0.0010250598554658705,0.011176088836833624,0.005375873268325167,0.0007223650869187751
Income_only,-10%,-0.1,HACKNEY,0.00020497027883984017,0.0034299160786718567,0.005597903940893902,0.0020072263201953685
Income_only,-10%,-0.1,HAMMERSMITH AND FULHAM,-0.014942259431431305,0.014551798645223034,0.006140966325137174,0.03459086359115456
Income_only,-10%,-0.1,HARINGEY,0.03641340556163015,0.013915805018363935,0.005124875433066965,0.002375145661566604
Income_only,-10%,-0.1,HARROW,0.0030980479580535298,0.01372890918160785,0.0049753532404295635,0.0013097285573278068
Income_only,-10%,-0.1,HAVERING,0.023942861753497188,0.02468507275889611,0.004957348178503733,0.0027113952367878377
Income_only,-10%,-0.1,HILLINGDON,0.008326209437314599,0.022059979182346673,0.005136148181168266,0.00243403446833269
Income_only,-10%,-0.1,HOUNSLOW,-0.0005849169487658519,0.028717452728966517,0.0046512147899719185,0.010727822307736307
Income_only,-10%,-0.1,ISLINGTON,0.009591873370491468,0.007126095326872558,0.00596622348759542,0.025439285478336023
Income_only,-10%,-0.1,KENSINGTON AND CHELSEA,0.00042531107732355364,-0.02775438004385555,0.007053279273757486,0.006901751639479401
Income_only,-10%,-0.1,KINGSTON UPON THAMES,-0.01759747505835909,0.025811614661536503,0.006028445351403899,0.016675184249032183
Income_only,-10%,-0.1,LAMBETH,-0.010606105998082623,0.006451557397286739,0.005813777097184196,0.012695049293754382
Income_only,-10%,-0.1,LEWISHAM,0.002961115891900883,0.011446615092331601,0.005124933110886645,0.001781081153805042
Income_only,-10%,-0.1,MERTON,-0.01562224314083453,0.012425793004215207,0.005463587616431792,0.0002363833891214813
Income_only,-10%,-0.1,NEWHAM,0.03049259863177837,0.03155662668984056,0.004403686664145735,0.006150968915872836
Income_only,-10%,-0.1,REDBRIDGE,0.013340869398576554,0.03219668668457147,0.00470330073633678,0.010602236332389107
Income_only,-10%,-0.1,RICHMOND UPON THAMES,0.012712852921556947,-0.026822561897353516,0.007169875119858737,0.003221395387475335
Income_only,-10%,-0.1,SOUTHWARK,0.026012895091316674,-0.002707113642051802,0.005653259799795009,0.004056509076415311
